# [Jun 17, 2019] Downloaded from https://www.genome.jp/kegg-bin/show_organism?category=Prokaryotes
# 
org_id	org_code	org_name
T01760	seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
T01782	sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
T02639	setu	Salmonella enterica subsp. enterica serovar Typhimurium U288
T02737	setc	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
T02869	senr	Salmonella enterica subsp. enterica serovar Typhimurium DT2
T02874	send	Salmonella enterica subsp. enterica serovar Typhimurium DT104
T03493	seni	Salmonella enterica subsp. enterica serovar Typhimurium 138736
T02738	seen	Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736
T00219	spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
T00756	sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
T00628	spq	Salmonella enterica subsp. enterica serovar Paratyphi B
T00862	sei	Salmonella enterica subsp. enterica serovar Paratyphi C
T00240	sec	Salmonella enterica subsp. enterica serovar Choleraesuis
T00738	seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
T02011	shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
T02735	senh	Salmonella enterica subsp. enterica serovar Heidelberg CFSAN002069
T02736	seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
T00739	see	Salmonella enterica subsp. enterica serovar Newport SL254
T02779	senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
T00743	sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
T00751	sea	Salmonella enterica subsp. enterica serovar Agona SL483
T02944	sens	Salmonella enterica subsp. enterica serovar Agona 24249
T00757	sed	Salmonella enterica subsp. enterica serovar Dublin
T00770	seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
T01740	sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
T02824	sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
T00776	set	Salmonella enterica subsp. enterica serovar Enteritidis P125109
T03731	sena	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
T03732	seno	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
T03760	senv	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
T03761	senq	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
T03817	senl	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
T02479	senj	Salmonella enterica subsp. enterica serovar Javiana
T02734	seec	Salmonella enterica subsp. enterica serovar Cubana
T02739	seeb	Salmonella enterica subsp. enterica serovar Bareilly
T02790	seep	Salmonella enterica subsp. enterica serovar Pullorum
T02827	senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
T02868	sene	Salmonella enterica subsp. enterica serovar Thompson
T03730	senc	Salmonella enterica subsp. enterica serovar Tennessee
T00627	ses	Salmonella enterica subsp. arizonae
T01579	sbg	Salmonella bongori NCTC 12419
T02733	sbz	Salmonella bongori N268-08
T03249	sbv	Salmonella bongori serovar 48:z41:--
T00097	sfl	Shigella flexneri 301 (serotype 2a)
T00128	sfx	Shigella flexneri 2457T (serotype 2a)
T00377	sfv	Shigella flexneri 8401 (serotype 5b)
T01883	sfe	Shigella flexneri 2002017 (serotype Fxv)
T03267	sfn	Shigella flexneri 2003036
T03315	sfs	Shigella flexneri Shi06HN006 (serotype Yv)
T03751	sft	Shigella flexneri NCTC1 (serotype 2a)
T00274	ssn	Shigella sonnei Ss046
T00301	sbo	Shigella boydii Sb227 (serotype 4)
T00700	sbc	Shigella boydii CDC 3083-94 (serotype 18)
T00306	sdy	Shigella dysenteriae Sd197
T02933	sdz	Shigella dysenteriae 1617 (serotype 1)
T04390	shq	Shigella sp. PAMC 28760
T00507	ent	Enterobacter sp. 638
T01231	enc	Enterobacter cloacae subsp. cloacae ATCC 13047
T02315	eno	Enterobacter cloacae subsp. cloacae ENHKU01
T02615	eclo	Enterobacter cloacae subsp. cloacae NCTC 9394
T02159	enl	Enterobacter cloacae subsp. dissolvens SDM
T03429	eclg	Enterobacter cloacae GGT036
T03471	ecle	Enterobacter cloacae ECNIH2
T03486	ecln	Enterobacter cloacae ECNIH4
T03706	ecli	Enterobacter cloacae ECNIH5
T03707	eclx	Enterobacter hormaechei subsp. xiangfangensis
T03708	ecly	Enterobacter hormaechei subsp. steigerwaltii
T03709	eclz	Enterobacter hormaechei subsp. hormaechei
T04593	ehm	Enterobacter hormaechei CAV1176
T04821	exf	Enterobacter hormaechei subsp. xiangfangensis
T03350	ecla	Enterobacter hormaechei subsp. hoffmannii ECNIH3
T03378	eclc	Enterobacter hormaechei subsp. hoffmannii ECR091
T03084	eau	Enterobacter asburiae L1
T04686	ekb	Enterobacter kobei
T01652	eec	Enterobacter ludwigii EcWSU1
T04719	elg	Enterobacter ludwigii EN-119
T05545	ecan	Enterobacter cancerogenus
T05556	ern	Enterobacter roggenkampii
T04878	ecls	Enterobacter cloacae complex sp. 35734
T01604	eas	Enterobacter soli
T02700	enr	Enterobacter sp. R4-368
T04118	enx	Enterobacter sp. E20
T04405	enf	Enterobacter sp. FY-07
T05993	ebg	Enterobacter bugandensis
T00586	esa	Cronobacter sakazakii ATCC BAA-894
T02119	csk	Cronobacter sakazakii ES15
T02461	csz	Cronobacter sakazakii Sp291
T03903	csj	Cronobacter sakazakii ATCC 29544
T04060	ccon	Cronobacter condimenti
T04061	cdm	Cronobacter dublinensis
T02955	csi	Cronobacter malonaticus CMCC45402
T04062	cmj	Cronobacter malonaticus LMG 23826
T04063	cui	Cronobacter universalis
T04067	cmw	Cronobacter muytjensii
T00999	ctu	Cronobacter turicensis
T00566	kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (serotype K52)
T00910	kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 (serotype K1)
T01733	kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
T02213	kpp	Klebsiella pneumoniae subsp. pneumoniae 1084 (serotype K1)
T03369	kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
T03370	kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
T03465	kpv	Klebsiella pneumoniae subsp. pneumoniae KPNIH29
T03466	kpw	Klebsiella pneumoniae subsp. pneumoniae KPNIH30
T03467	kpy	Klebsiella pneumoniae subsp. pneumoniae KPNIH31
T03468	kpg	Klebsiella pneumoniae subsp. pneumoniae KPNIH32
T03788	kpc	Klebsiella pneumoniae subsp. pneumoniae KPNIH10
T03371	kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
T03418	kpt	Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1
T00772	kpe	Klebsiella pneumoniae 342
T01982	kpo	Klebsiella pneumoniae KCTC 2242
T02793	kpr	Klebsiella pneumoniae subsp. rhinoscleromatis SB3432
T02799	kpj	Klebsiella pneumoniae JM45
T02866	kpi	Klebsiella pneumoniae CG43
T03176	kpa	Klebsiella pneumoniae 30660/NJST258_1
T03177	kps	Klebsiella pneumoniae 30684/NJST258_2
T03419	kpx	Klebsiella pneumoniae PMK1
T03440	kpb	Klebsiella pneumoniae blaNDM-1
T03746	kpne	Klebsiella pneumoniae 32192
T03747	kpnu	Klebsiella pneumoniae 34618
T05281	kpnk	Klebsiella pneumoniae Kp52.145
T01170	kva	Klebsiella variicola At-22
T03368	kpk	Klebsiella variicola KP5-1
T03531	kvd	Klebsiella variicola DX120E
T03641	kvq	Klebsiella variicola DSM 15968
T01681	kox	Klebsiella michiganensis KCTC 1686
T02173	koe	Klebsiella michiganensis E718
T03188	koy	Klebsiella michiganensis HKOPL1
T03349	kom	Klebsiella michiganensis M1
T03782	kmi	Klebsiella michiganensis RC10
T03269	kok	Klebsiella oxytoca KONIH1
T04534	koc	Klebsiella oxytoca CAV1374
T04389	kqu	Klebsiella quasipneumoniae
T01529	eae	Klebsiella aerogenes KCTC 2190
T02447	ear	Klebsiella aerogenes EA1509E
T05116	kqv	Klebsiella quasivariicola
T05751	kll	Klebsiella sp. LTGPAF-6F
T05915	klw	Klebsiella sp. WCHKl090001
T00592	cko	Citrobacter koseri
T01145	cro	Citrobacter rodentium
T03077	cfd	Citrobacter freundii
T04825	cbra	Citrobacter braakii
T05129	cwe	Citrobacter werkmanii
T05526	cyo	Citrobacter youngae
T03934	cama	Citrobacter amalonaticus Y19
T04738	caf	Citrobacter amalonaticus FDAARGOS_165
T04313	cif	Citrobacter sp. FDAARGOS_156
T05012	cfar	Citrobacter farmeri
T05324	cir	Citrobacter sp. CFNIH10
T05520	cie	Citrobacter sp. CRE-46
T05874	cpar	Citrobacter pasteurii
T05060	gqu	Gibbsiella quercinecans
T00138	bfl	Candidatus Blochmannia floridanus (Camponotus floridanus)
T00272	bpn	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
T01398	bva	Candidatus Blochmannia vafer (Camponotus vafer)
T02430	bchr	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
T03906	ben	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
T03907	bed	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
T00911	hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
T02199	sect	Secondary endosymbiont of Ctenarytaina eucalypti
T02336	sehc	Secondary endosymbiont of Heteropsylla cubana
T04494	senm	Secondary endosymbiont of Trabutina mannipara
T01218	rip	Candidatus Riesia pediculicola
T04782	rig	Candidatus Riesia sp. GBBU
T01562	men	Candidatus Moranella endobia PCIT
T02613	meo	Candidatus Moranella endobia PCVAL
T02111	ebt	Shimwellia blattae
T02625	ror	Raoultella ornithinolytica B6
T03629	ron	Raoultella ornithinolytica S12
T05298	rpln	Raoultella planticola
T05540	rao	Raoultella sp. X13
T03298	cnt	Cedecea neteri SSMD04
T03328	cem	Cedecea neteri M006
T03337	cen	Cedecea neteri ND14a
T05810	clap	Cedecea lapagei
T03300	pge	Pluralibacter gergoviae
T01342	esc	Enterobacter lignolyticus SCF1
T04198	kle	Enterobacter lignolyticus G5
T03601	ksa	Kosakonia sacchari
T04433	kor	Kosakonia oryzae
T04579	krd	Kosakonia radicincitans
T04691	kco	Kosakonia cowanii
T05734	kot	Kosakonia sp. CCTCC M2018092
T04930	kgo	Kluyvera georgiana
T04149	icp	Candidatus Ishikawaella capsulata
T04232	lax	Leclercia adecarboxylata
T05297	lei	Leclercia sp. LSNIH1
T05316	leh	Leclercia sp. LSNIH3
T05987	lee	Leclercia sp. W17
T04400	laz	Lelliottia amnigena
T05035	lef	Lelliottia jeotgali
T05333	lni	Lelliottia nimipressuralis
T05398	lew	Lelliottia sp. WB101
T05491	lpv	Limnobaculum parvum
T05676	buf	Buttiauxella sp. 3AFRM03
T03624	sbw	Candidatus Tachikawaea gelatinosa
T04480	den	Candidatus Doolittlea endobia
T04484	hed	Candidatus Hoaglandella endobia
T04502	ged	Candidatus Gullanella endobia
T04510	cmik	Candidatus Mikella endobia
T05580	ppet	Candidatus Purcelliella pentastirinorum
T05735	mety	Metakosakonia sp. MRY16-398
T05790	ahn	Atlantibacter hermannii
T05975	izh	Izhakiella sp. KSNA2
T02431	ebf	Enterobacteriaceae bacterium FGI 57
T05417	ebc	Enterobacteriaceae bacterium ENNIH2
T05725	ebu	Enterobacteriaceae bacterium S05
T03051	psts	Plautia stali symbiont
T00063	ype	Yersinia pestis CO92 (biovar Orientalis)
T00092	ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
T01874	yph	Yersinia pestis Harbin 35 (biovar Medievalis)
T00369	ypa	Yersinia pestis Antiqua (biovar Antiqua)
T00370	ypn	Yersinia pestis Nepal516 (biovar Antiqua)
T00165	ypm	Yersinia pestis 91001 (biovar Microtus)
T00505	ypp	Yersinia pestis Pestoides F (biovar Antiqua)
T00635	ypg	Yersinia pestis Angola
T01210	ypz	Yersinia pestis Z176003
T01831	ypt	Yersinia pestis A1122
T01832	ypd	Yersinia pestis D106004
T01833	ypx	Yersinia pestis D182038
T03716	ypw	Yersinia pestis PBM19
T03717	ypj	Yersinia pestis Harbin35
T03718	ypv	Yersinia pestis Shasta
T03719	ypl	Yersinia pestis El Dorado
T00195	yps	Yersinia pseudotuberculosis IP 32953 (serotype I)
T03832	ypo	Yersinia pseudotuberculosis IP 32953 (serotype 1)
T00570	ypi	Yersinia pseudotuberculosis IP 31758 (serotype O:1b)
T00665	ypy	Yersinia pseudotuberculosis YPIII (serotype O:3)
T00744	ypb	Yersinia pseudotuberculosis PB1/+ (serotype 1B)
T03307	ypq	Yersinia pseudotuberculosis ATCC 6904
T03677	ypu	Yersinia pseudotuberculosis MD67
T03678	ypr	Yersinia pseudotuberculosis EP2/+
T03679	ypc	Yersinia pseudotuberculosis 1
T03846	ypf	Yersinia pseudotuberculosis PA3606
T00469	yen	Yersinia enterocolitica subsp. enterocolitica 8081 (serotype 0:8)
T01480	yep	Yersinia enterocolitica subsp. palearctica 105.5R(r) (serotype:O:9)
T02010	yey	Yersinia enterocolitica subsp. palearctica Y11 (serotype:0:3)
T03179	yel	Yersinia enterocolitica LC20
T03643	yew	Yersinia enterocolitica WA
T03644	yet	Yersinia enterocolitica 2516-87
T03890	yef	Yersinia enterocolitica FORC_002
T03739	yee	Yersinia enterocolitica (type O:5) YE53/03
T03057	ysi	Yersinia similis
T03605	yal	Yersinia aldovae
T03606	yfr	Yersinia frederiksenii
T03608	yin	Yersinia intermedia
T03609	ykr	Yersinia kristensenii
T03610	yro	Yersinia rohdei
T03611	yru	Yersinia ruckeri YRB
T03887	yrb	Yersinia ruckeri Big Creek 74 (serotype O2)
T03994	yak	Yersinia aleksiciae
T05402	yma	Yersinia massiliensis
T05961	yhi	Yersinia hibernica
T00595	spe	Serratia proteamaculans
T01503	srr	Serratia plymuthica AS9
T02710	srl	Serratia plymuthica 4Rx13
T02716	sry	Serratia plymuthica S13
T04576	sply	Serratia plymuthica PRI-2C
T01502	srs	Serratia sp. AS12
T02012	sra	Serratia sp. AS13
T01672	ssz	Serratia symbiotica
T02433	smaf	Serratia sp. FGI94
T02448	smw	Serratia marcescens WW4
T03592	smar	Serratia marcescens SM39
T03985	smac	Serratia marcescens subsp. marcescens Db11
T02740	slq	Serratia liquefaciens
T03313	serf	Serratia sp. FS14
T03314	sers	Serratia sp. SCBI
T04030	sfw	Serratia fonticola DSM 4576
T04716	sfg	Serratia fonticola GS2
T04417	srz	Serratia rubidaea
T05290	sera	Serratia sp. ATCC 39006
T05968	serq	Serratia sp. ATCC 39006
T05477	serm	Serratia sp. MYb239
T05941	squ	Serratia quinivorans
T02987	sfo	Chania multitudinisentens
T01422	rah	Rahnella sp. Y9602
T01770	raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
T01850	raa	Rahnella aquatilis HX2
T05331	rox	Rahnella sp. ERMR1:05
T00186	eca	Pectobacterium atrosepticum SCRI1043
T03199	patr	Pectobacterium atrosepticum JG10-08
T03293	pato	Pectobacterium atrosepticum 21A
T00934	pct	Pectobacterium carotovorum subsp. carotovorum PC1
T02320	pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
T03424	pcv	Pectobacterium carotovorum subsp. odoriferum
T01106	pwa	Pectobacterium parmentieri WPP163
T04513	ppar	Pectobacterium parmentieri RNS08.42.1A
T02514	pec	Pectobacterium parmentieri SCC3193
T04535	pws	Pectobacterium wasabiae
T05195	ppoa	Pectobacterium polaris
T00316	sgl	Sodalis glossinidius (Glossina spp.)
T03004	sod	Sodalis praecaptivus
T03006	pes	Candidatus Sodalis pierantonius
T05311	seny	Sodalis endosymbiont of Henestaris halophilus
T00927	dda	Dickeya paradisiaca
T01305	ddd	Dickeya dadantii 3937
T00930	dze	Dickeya chrysanthemi
T01138	ddc	Dickeya zeae Ech586
T03567	dzc	Dickeya zeae EC1
T04410	dso	Dickeya solani IPO 2222
T03347	ced	Dickeya solani ND14b
T05141	ddq	Dickeya dianthicola
T05277	dfn	Dickeya fangzhongdai
T05061	bgj	Brenneria goodwinii
T05976	brb	Brenneria rubrifaciens
T05623	lbq	Lonsdalea britannica
T00711	eta	Erwinia tasmaniensis
T01000	epy	Erwinia pyrifoliae Ep1/96
T02121	epr	Erwinia pyrifoliae DSM 12163
T01197	eam	Erwinia amylovora CFBP1430
T01199	eay	Erwinia amylovora ATCC 49946
T01270	ebi	Erwinia billingiae
T01935	erj	Erwinia sp. Ejp617
T04258	ege	Erwinia gerundensis
T05618	epe	Erwinia persicina
T05981	ehd	Candidatus Erwinia haradaeae
T00036	buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
T00820	bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
T00821	bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
T01826	baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
T02354	bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
T01828	bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
T01829	bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
T01825	bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
T01830	buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
T03020	bapf	Buchnera aphidicola F009 (Myzus persicae)
T03021	bapg	Buchnera aphidicola G002 (Myzus persicae)
T03022	bapu	Buchnera aphidicola USDA (Myzus persicae)
T03023	bapw	Buchnera aphidicola W106 (Myzus persicae)
T00087	bas	Buchnera aphidicola Sg (Schizaphis graminum)
T00111	bab	Buchnera aphidicola Bp (Baizongia pistaciae)
T00423	bcc	Buchnera aphidicola BCc
T01528	baj	Buchnera aphidicola (Cinara tujafilina)
T04764	baph	Buchnera aphidicola (Aphis glycines)
T00101	wbr	Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)
T01747	wgl	Wigglesworthia glossinidia morsitans (Glossina morsitans)
T01195	pam	Pantoea ananatis LMG 20103
T01728	plf	Pantoea ananatis LMG 5342
T01969	paj	Pantoea ananatis AJ13355
T01970	paq	Pantoea ananatis PA13
T01326	pva	Pantoea vagans C9-1
T04302	pagg	Pantoea vagans FDAARGOS_160
T01386	pao	Pantoea sp. At-9b
T03331	kln	Pantoea rwandensis
T03464	pant	Pantoea sp. PSNIH1
T03514	panp	Pantoea sp. PSNIH2
T02865	hhs	Candidatus Pantoea carbekii
T03853	pck	Candidatus Pantoea carbekii US
T04739	pagc	Pantoea agglomerans C410P1
T04970	pstw	Pantoea stewartii subsp. stewartii
T05014	palh	Pantoea alhagi
T05418	pgz	Mixta gaviniae
T05419	pcd	Mixta calida
T04873	tci	Tatumella citrea
T05493	tpty	Tatumella ptyseos
T00149	plu	Photorhabdus laumondii subsp. laumondii TTO1
T05478	plum	Photorhabdus laumondii subsp. laumondii DSPV002N
T00941	pay	Photorhabdus asymbiotica
T03944	ptt	Photorhabdus thracensis
T00753	pmr	Proteus mirabilis HI4320
T02789	pmib	Proteus mirabilis BB2000
T04093	pvl	Proteus mirabilis CYPV1
T05486	pvg	Proteus vulgaris
T05854	phau	Proteus hauseri
T01186	xbo	Xenorhabdus bovienii SS-2004
T03845	xbv	Xenorhabdus bovienii CS03
T01274	xne	Xenorhabdus nematophila ATCC 19061
T03752	xnm	Xenorhabdus nematophila AN6/1
T03784	xdo	Xenorhabdus doucetiae
T03805	xpo	Xenorhabdus poinarii
T04538	xho	Xenorhabdus hominickii
T02042	psi	Providencia stuartii MRSN 2154
T03282	psx	Providencia stuartii ATCC 33672
T04734	psta	Providencia stuartii BE2467
T04571	prg	Providencia rettgeri
T05107	pala	Providencia alcalifaciens
T05509	phei	Providencia heimbachae
T05654	prq	Providencia sp. WCHPr000369
T02496	mmk	Morganella morganii
T04248	asy	Candidatus Arsenophonus lipoptenae
T05672	aen	Arsenophonus endosymbiont of Aleurodicus dispersus
T05992	ans	Arsenophonus nasoniae
T00912	eic	Edwardsiella ictaluri
T01121	etr	Edwardsiella tarda EIB202
T02091	etd	Edwardsiella tarda FL6-60
T03245	ete	Edwardsiella anguillarum
T02509	etc	Edwardsiella piscicida C07-087
T03991	edw	Edwardsiella sp. EA181011
T04005	edl	Edwardsiella sp. LADL05-105
T04508	eho	Edwardsiella hoshinae
T03425	hav	Hafnia alvei
T05667	hpar	Hafnia paralvei
T04310	opo	Obesumbacterium proteus
T03952	pfq	Pragia fontium
T05503	lri	Leminorella richardii
T03950	kin	Phytobacter ursingii
T04378	pshi	Plesiomonas shigelloides
T00001	hin	Haemophilus influenzae Rd KW20 (serotype d)
T00248	hit	Haemophilus influenzae 86-028NP (nontypeable)
T00543	hip	Haemophilus influenzae PittEE (nontypeable)
T00544	hiq	Haemophilus influenzae PittGG (nontypeable)
T01395	hif	Haemophilus influenzae F3031 (nontypeable)
T01400	hil	Haemophilus influenzae F3047 (nontypeable)
T01720	hiu	Haemophilus influenzae 10810 (serotype b)
T01980	hie	Haemophilus influenzae R2846 (nontypeable)
T01981	hiz	Haemophilus influenzae R2866 (nontypeable)
T02839	hik	Haemophilus influenzae KR494 (serotype f)
T03436	hia	Haemophilus influenzae CGSHiCZ412602
T03485	hih	Haemophilus influenzae Hi375
T03720	hiw	Haemophilus influenzae 477
T03721	hic	Haemophilus influenzae C486
T03722	hix	Haemophilus influenzae 723
T01605	hpr	Haemophilus parainfluenzae
T00135	hdu	Haemophilus ducreyi
T05707	hay	Haemophilus sp. oral taxon 036
T00825	hap	Glaesserella parasuis SH0165
T02697	hpaz	Glaesserella parasuis ZJ0906
T03301	hpas	Glaesserella parasuis SH03
T03312	hpak	Glaesserella parasuis KL0318
T05643	gle	Glaesserella sp. 15-184
T00386	hso	Histophilus somni 129PT
T00673	hsm	Histophilus somni 2336
T00046	pmu	Pasteurella multocida subsp. multocida Pm70
T01776	pmv	Pasteurella multocida subsp. multocida HN06
T02057	pul	Pasteurella multocida subsp. multocida 3480
T01729	pmp	Pasteurella multocida 36950
T03322	pmul	Pasteurella multocida ATCC 43137
T05467	pdag	Pasteurella dagmatis
T05989	paet	Pasteurella aerogenes
T00201	msu	Mannheimia succiniciproducens
T02522	mht	Mannheimia haemolytica USDA-ARS-USMARC-185
T02523	mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
T03786	mhat	Mannheimia haemolytica USDA-ARS-USMARC-184
T02635	mhx	Mannheimia haemolytica M42548
T02746	mhae	Mannheimia haemolytica D153
T02747	mham	Mannheimia haemolytica D171
T02748	mhao	Mannheimia haemolytica D174
T02758	mhal	Mannheimia haemolytica USMARC_2286
T03749	mhaq	Mannheimia haemolytica 89010807N
T03750	mhay	Mannheimia haemolytica 89010807N lktA-
T03026	mvr	Mannheimia sp. USDA-ARS-USMARC-1261
T03027	mvi	Mannheimia varigena USDA-ARS-USMARC-1296
T03028	mvg	Mannheimia varigena USDA-ARS-USMARC-1312
T03029	mve	Mannheimia varigena USDA-ARS-USMARC-1388
T00476	apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
T00644	apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
T00717	apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
T00558	asu	Actinobacillus succinogenes
T02262	asi	Actinobacillus suis H91-0380
T03246	ass	Actinobacillus suis ATCC 33415
T03501	aeu	Actinobacillus equuli
T05443	apor	Actinobacillus porcitonsillarum
T05940	aio	Actinobacillus indolicus
T00929	aap	Aggregatibacter aphrophilus NJ8700
